Step,Time,Datetime,a,e,i,RAAN,aop,ta,Eclipse_status_Earth,Eclipse_status_Moon
13,790156169.1843239,2025-01-14 19:48:19.999998+00:00,42166.13107571229,0.00013429091428669254,0.1398231982349222,86.59891597769047,208.69668052198017,80.01610436088791,0,0
14,790156669.1843239,2025-01-14 19:56:39.999998+00:00,42166.07530725667,0.0001311751190510892,0.13981747227335914,86.60545549976649,208.3199378346778,82.47525620311006,0,0
15,790157169.1843239,2025-01-14 20:04:59.999998+00:00,42166.024197380015,0.0001280654350076387,0.1398117511449632,86.61131158456206,207.92680983530977,84.95145566437385,0,0
16,790157669.1843239,2025-01-14 20:13:19.999997+00:00,42165.978020908784,0.00012496217401975775,0.1398061593026862,86.6164829491703,207.51832561397,87.44367543372258,0,0
17,790158169.1843239,2025-01-14 20:21:39.999997+00:00,42165.937032105845,0.00012186516736006297,0.13980082179791334,86.62097173640535,207.09545283095602,89.95094624948484,0,0
18,790158669.1843239,2025-01-14 20:29:59.999997+00:00,42165.901463337934,0.00011877381180665229,0.1397958637600467,86.62478355144067,206.65906074763652,92.47239382941552,0,0
19,790159169.1843239,2025-01-14 20:38:19.999997+00:00,42165.871523809634,0.00011568712423296565,0.13979140978881155,86.62792748391757,206.20987986819136,95.0072792043491,0,0
20,790159669.1843239,2025-01-14 20:46:39.999997+00:00,42165.8473983689,0.00011260380406095582,0.1397875834079128,86.63041611494256,205.74845818449836,97.55504246368177,0,0
21,790160169.1843239,2025-01-14 20:54:59.999997+00:00,42165.82924638979,0.00010952230280560825,0.1397845064497523,86.63226550841958,205.2751139325001,100.11535000491341,0,0
22,790160669.1843239,2025-01-14 21:03:19.999996+00:00,42165.8172007384,0.00010644089983041128,0.13978229847036577,86.63349518619829,204.78988464266095,102.68814550516889,0,0
23,790161169.1843239,2025-01-14 21:11:39.999996+00:00,42165.811366827285,0.00010335778336562639,0.13978107615298907,86.63412808656001,204.29247208782812,105.27370501187487,0,0
24,790161669.1843239,2025-01-14 21:19:59.999996+00:00,42165.81182176452,0.0001002711358131579,0.13978095271343657,86.6341905056106,203.7821825053675,107.87269677616325,0,0
25,790162169.1843239,2025-01-14 21:28:19.999996+00:00,42165.818613603326,9.717922239011274e-05,0.13978203730225403,86.63371202120565,203.25786118609912,110.48624673686518,0,0
26,790162669.1843239,2025-01-14 21:36:39.999996+00:00,42165.8317606976,9.408048224452213e-05,0.13978443441948812,86.63272539909603,202.71782016783632,113.11601091761362,0,0
27,790163169.1843239,2025-01-14 21:44:59.999996+00:00,42165.85125116982,9.097362131287315e-05,0.13978824333186465,86.63126648105465,202.15975736128013,115.7642564095583,0,0
28,790163669.1843239,2025-01-14 21:53:19.999995+00:00,42165.877042497326,8.785770638453333e-05,0.1397935574952208,86.62937405482555,201.58066494149628,118.43395310663564,0,0
29,790164169.1843239,2025-01-14 22:01:39.999995+00:00,42165.90906122221,8.473226011117717e-05,0.13980046401373028,86.62708970582649,200.9767242481344,121.12887895031919,0,0
30,790164669.1843239,2025-01-14 22:09:59.999995+00:00,42165.94720279167,8.159735701549205e-05,0.13980904307621622,86.62445765063605,200.3431837871662,123.85374209105503,0,0
31,790165169.1843239,2025-01-14 22:18:19.999995+00:00,42165.991331533805,7.845372097740624e-05,0.13981936746627943,86.6215245524039,199.67421615003937,126.61432415036279,0,0
32,790165669.1843239,2025-01-14 22:26:39.999995+00:00,42166.04128077492,7.530282516142928e-05,0.13983150203700903,86.61833931844241,198.96274883268822,129.41764960091714,0,0
33,790166169.1843239,2025-01-14 22:34:59.999995+00:00,42166.0968531039,7.214699594557458e-05,0.13984550326523656,86.61495288038374,198.2002630626958,132.27218715594614,0,0
34,790166669.1843239,2025-01-14 22:43:19.999994+00:00,42166.15782078856,6.898952312491338e-05,0.13986141880997133,86.61141795742382,197.37655391538553,135.18808988666157,0,0
35,790167169.1843239,2025-01-14 22:51:39.999994+00:00,42166.22392634893,6.58347795039672e-05,0.13987928709870767,86.60778880331851,196.47944444159205,138.17748134432233,0,0
36,790167669.1843239,2025-01-14 22:59:59.999994+00:00,42166.29488329219,6.268835395907315e-05,0.13989913697046533,86.60412093794923,195.4944466156009,141.2547948776381,0,0
