Step,Time,X,Y,Z,Vx,Vy,Vz,Eclipse_status_Earth,Eclipse_status_Moon
116,5800.0,-3749.8434501202564,2453.2540369781273,5297.5084769554705,-5.00572999751687,-6.508214657843257,-0.4762547567819621,0,0
117,5850.0,-3993.4764568698433,2123.7729906183154,5264.489611112771,-4.736800485034959,-6.667196473618725,-0.8440758396014546,0,0
118,5900.0,-4223.254828473449,1786.9225874182446,5213.156673604405,-4.4516869397214975,-6.802919560362351,-1.2086338634856917,0,0
119,5950.0,-4438.395531881788,1443.8773815007185,5143.705718690401,-4.151426134453251,-6.914937017255463,-1.5686358349745704,0,0
120,6000.0,-4638.167330242816,1095.831209331598,5056.39501374789,-3.837107116066903,-7.002902896122563,-1.922819843123845,0,0
121,6050.0,-4821.893579200337,743.9929051744936,4951.544304556783,-3.5098644419824097,-7.066556140385602,-2.269947006134578,0,0
122,6100.0,-4988.957501816599,389.5830480772988,4829.537158128228,-3.170876803043206,-7.105726076283745,-2.6088073245557695,0,0
123,6150.0,-5138.804523400795,33.82863888823459,4690.818840733356,-2.8213672738416524,-7.120342633955347,-2.9382343544297984,0,0
124,6200.0,-5270.939434249145,-322.04243079673347,4535.889386192526,-2.4625840793041123,-7.110412174466697,-3.257093193617469,0,0
125,6250.0,-5384.929791991933,-676.8051325150889,4365.303911833125,-2.095804197493246,-7.076030076859435,-3.5642922859894814,0,0
126,6300.0,-5480.408285058068,-1029.241202700876,4179.6717588878355,-1.722328900856827,-7.017384438710351,-3.8587890413157337,0,0
127,6350.0,-5557.073085226887,-1378.1437855997356,3979.653193324916,-1.3434768512683233,-6.934748269600824,-4.139592757544491,0,0
128,6400.0,-5614.688603185721,-1722.3220092946153,3765.95641947111,-0.9605815666005733,-6.828482054077782,-4.4057694777776595,0,0
129,6450.0,-5653.086109536596,-2060.605219973765,3539.3348550556293,-0.5749802253806242,-6.6990234870481284,-4.656438701862841,0,0
130,6500.0,-5672.163740016012,-2391.846255120565,3300.584797224996,-0.18800837373702858,-6.546883585247007,-4.890774835132846,0,0
131,6550.0,-5671.886382124295,-2714.9254555643615,3050.5422189526944,0.19899713270681196,-6.372656431146602,-5.108019496922409,0,0
132,6600.0,-5652.285698099695,-3028.7550023737094,2790.079221661852,0.5847036400888167,-6.177015776325977,-5.307482216980463,0,0
133,6650.0,-5613.459624250627,-3332.2824166402015,2520.100868477458,0.9677944960215251,-5.96070010816969,-5.488534789299437,0,0
134,6700.0,-5555.571513758557,-3624.4938487576233,2241.541930451058,1.3469701524896898,-5.724515696738573,-5.650617348275794,0,0
135,6750.0,-5478.849182386144,-3904.4174019133484,1955.3634510388488,1.7209515961806061,-5.469334488425846,-5.793239431350885,0,0
136,6800.0,-5383.583739194368,-4171.126294299853,1662.5491823763055,2.0884864442719047,-5.196085805906469,-5.915980685122432,0,0
137,6850.0,-5270.128175625487,-4423.741607008736,1364.1021258971628,2.4483523213845872,-4.905754833878091,-6.018491883146412,0,0
138,6900.0,-5138.895846253437,-4661.434868199403,1061.0411697920983,2.7993604076746808,-4.599379552462281,-6.1004938420145205,0,0
139,6950.0,-4990.358586353997,-4883.430767960265,754.3972905730841,3.140359486988623,-4.278045140381818,-6.161778743892229,0,0
140,7000.0,-4825.0448665079175,-5089.009282725414,445.21019633893303,3.470239354221792,-3.9428793006434857,-6.202210856793115,0,0
141,7050.0,-4643.537600326356,-5277.507753990635,134.52459106158202,3.7879341569266813,-3.5950492098929288,-6.221723931215253,0,0
142,7100.0,-4446.471532880853,-5448.323084045042,-176.61361266662263,4.092425811554396,-3.2357551856222218,-6.220322422720765,0,0
143,7150.0,-4234.531261015147,-5600.912764689887,-487.16014050801755,4.382745404963013,-2.8662304188706176,-6.198075399267519,2,0
144,7200.0,-4008.448483728777,-5734.796525533571,-796.0760649996015,4.657977517052616,-2.4877299519348277,-6.155126128826603,2,0
145,7250.0,-3768.9993586499418,-5849.557451536759,-1102.3310921990585,4.917260605929147,-2.101531206898432,-6.091679905035472,2,0
