Step,Time,Datetime,a,e,i,RAAN,aop,ta,Eclipse_status_Earth,Eclipse_status_Moon
81,793628169.1852885,2025-02-24 00:14:59.999992+00:00,42167.99254118472,0.0004717588549014203,0.13526493945243317,84.59669776534075,254.5123020253735,117.48082954504368,0,0
82,793628669.1852885,2025-02-24 00:23:19.999992+00:00,42168.03866072694,0.00046971700850777616,0.13530324838517233,84.60045449329165,254.5252574322519,119.55190155619118,0,0
83,793629169.1852885,2025-02-24 00:31:39.999991+00:00,42168.08248869347,0.0004677305447071323,0.13534154073042898,84.60483526604922,254.52514160701716,121.63535969436522,0,0
84,793629669.1852885,2025-02-24 00:39:59.999991+00:00,42168.12381730754,0.0004658053672020844,0.13537972338019405,84.60983921237836,254.51169462065707,123.73146628318459,0,0
85,793630169.1852885,2025-02-24 00:48:19.999991+00:00,42168.16244723655,0.00046394750886246495,0.1354177035358375,84.61546283481918,254.48471621055646,125.84042667035715,0,0
86,793630669.1852885,2025-02-24 00:56:39.999991+00:00,42168.198188582595,0.00046216309483994625,0.13545538907253465,84.62170002540229,254.44407052591242,127.96238446519733,0,0
87,793631169.1852885,2025-02-24 01:04:59.999991+00:00,42168.23086185514,0.0004604583025568659,0.13549268892936286,84.62854209040663,254.38969047208755,130.0974171681491,0,0
88,793631669.1852885,2025-02-24 01:13:19.999991+00:00,42168.26029892184,0.0004588393188001576,0.13552951348740602,84.63597778406981,254.3215815536387,132.24553229266687,0,0
89,793632169.1852885,2025-02-24 01:21:39.999991+00:00,42168.28634393163,0.00045731229423009236,0.13556577494131605,84.64399335114695,254.23982511152505,134.40666408405357,0,0
90,793632669.1852885,2025-02-24 01:29:59.999991+00:00,42168.308854205796,0.0004558832956670991,0.13560138767246968,84.65257257819863,254.14458085236603,136.58067093750324,0,0
91,793633169.1852885,2025-02-24 01:38:19.999991+00:00,42168.3277010915,0.00045455825660136785,0.13563626859960864,84.66169685347616,254.03608856880294,138.76733361642462,0,0
92,793633669.1852885,2025-02-24 01:46:39.999990+00:00,42168.342770772666,0.000453342926434361,0.13567033755544586,84.67134523525856,253.9146689583069,140.96635436384764,0,0
93,793634169.1852885,2025-02-24 01:54:59.999990+00:00,42168.35396503359,0.00045224281902300686,0.13570351761408703,84.68149452848435,253.78072345771923,143.1773569897803,0,0
94,793634669.1852885,2025-02-24 02:03:19.999990+00:00,42168.36120196986,0.0004512631611653666,0.1357357354553825,84.6921193695083,253.6347330247684,145.39988800343983,0,0
95,793635169.1852885,2025-02-24 02:11:39.999990+00:00,42168.364416642034,0.0004504088417105576,0.13576692166156437,84.7031923188027,253.47725581591854,147.633418841181,0,0
96,793635669.1852885,2025-02-24 02:19:59.999990+00:00,42168.36356166716,0.000449684362021192,0.1357970110618054,84.71468396141101,253.3089237318973,149.87734921896254,0,0
97,793636169.1852885,2025-02-24 02:28:19.999990+00:00,42168.358607743656,0.00044909378854274116,0.13582594302277973,84.7265630149503,253.13043782559848,152.13101161485673,0,0
98,793636669.1852885,2025-02-24 02:36:39.999990+00:00,42168.34954410492,0.00044864070824713335,0.13585366175518537,84.73879644494775,252.9425625949326,154.3936768592411,0,0
99,793637169.1852885,2025-02-24 02:44:59.999990+00:00,42168.33637889778,0.0004483281877074713,0.13588011656659124,84.75134958728458,252.74611921109087,156.66456078242794,0,0
100,793637669.1852885,2025-02-24 02:53:19.999990+00:00,42168.31913948151,0.00044815873654067317,0.1359052621546679,84.76418627750868,252.54197776162195,158.94283184056928,0,0
101,793638169.1852885,2025-02-24 03:01:39.999990+00:00,42168.2978726437,0.00044813427590917185,0.13592905882021047,84.77726898676434,252.3310486156008,161.22761961280426,0,0
102,793638669.1852885,2025-02-24 03:09:59.999989+00:00,42168.272644729695,0.0004482561127071086,0.135951472720807,84.79055896407355,252.11427304498432,163.51802403581593,0,0
103,793639169.1852885,2025-02-24 03:18:19.999989+00:00,42168.24354168254,0.0004485249199723521,0.135972476071395,84.80401638468905,251.8926132591313,165.81312521909632,0,0
104,793639669.1852885,2025-02-24 03:26:39.999989+00:00,42168.21066899024,0.00044894072397542767,0.13599204732670578,84.81760050422287,251.66704202805607,168.11199366564122,0,0
105,793640169.1852885,2025-02-24 03:34:59.999989+00:00,42168.174151538245,0.0004495028983163649,0.1360101713564186,84.8312698182368,251.43853208486496,170.41370070793678,0,0
106,793640669.1852885,2025-02-24 03:43:19.999989+00:00,42168.13413336517,0.0004502101652374524,0.1360268396050688,84.8449822269625,251.208045505244,172.7173289616947,0,0
107,793641169.1852885,2025-02-24 03:51:39.999989+00:00,42168.09077731976,0.0004510606042394933,0.1360420501885615,84.85869520479739,250.97652326413473,175.0219825975521,0,0
108,793641669.1852885,2025-02-24 03:59:59.999989+00:00,42168.044264618264,0.00045205166794629444,0.13605580801846595,84.87236597420073,250.74487516551494,177.32679723518865,0,0
109,793642169.1852885,2025-02-24 04:08:19.999989+00:00,42167.994794301165,0.0004531802050428391,0.13606812487909756,84.88595168358846,250.51397033087937,179.6309492746653,0,0
110,793642669.1852885,2025-02-24 04:16:39.999989+00:00,42167.94258258915,0.00045444248997629516,0.13607901946814713,84.89940958879859,250.28462841605867,181.9336644957592,0,0
111,793643169.1852885,2025-02-24 04:24:59.999988+00:00,42167.88786213864,0.00045583425900455816,0.1360885174196178,84.91269723766995,250.05761170602378,184.234225776137,0,0
112,793643669.1852885,2025-02-24 04:33:19.999988+00:00,42167.83088119707,0.0004573507520698866,0.1360966513197649,84.92577265724435,249.8336182123728,186.5319798041003,0,0
113,793644169.1852885,2025-02-24 04:41:39.999988+00:00,42167.771902659995,0.0004589867598795584,0.13610346066512097,84.93859454306866,249.61327587228396,188.82634268768783,0,0
114,793644669.1852885,2025-02-24 04:49:59.999988+00:00,42167.711203030885,0.0004607366755159607,0.13610899180541172,84.9511224500362,249.39713791906078,191.11680439054555,0,0
115,793645169.1852885,2025-02-24 04:58:19.999988+00:00,42167.64907128659,0.0004625945498311943,0.1361132978525433,84.96331698416776,249.18567946623946,193.40293195319387,0,0
116,793645669.1852885,2025-02-24 05:06:39.999988+00:00,42167.5858076511,0.00046455414984432965,0.1361164385743176,84.97513999469142,248.97929531978346,195.6843714858081,0,0
117,793646169.1852885,2025-02-24 05:14:59.999988+00:00,42167.521722281104,0.0004666090193402202,0.13611848023528203,84.9865547657358,248.77829900717688,197.96084894438255,0,0
118,793646669.1852885,2025-02-24 05:23:19.999988+00:00,42167.457133867494,0.0004687525408560381,0.13611949541404786,84.9975262069076,248.58292298917272,200.23216972525202,0,0
119,793647169.1852885,2025-02-24 05:31:39.999988+00:00,42167.392368157154,0.00047097799825038017,0.1361195628076517,85.00802104197504,248.39331999992476,202.49821713301856,0,0
120,793647669.1852885,2025-02-24 05:39:59.999988+00:00,42167.32775640068,0.00047327863906090596,0.13611876696658373,85.0180079948325,248.20956544441322,204.75894979379905,0,0
